0.267029	-24.347197 0.962855 -0.221458 0.665935 0.395821 0.887322 0.507329 0.650949 -0.142987 0.224334 0.114650 0.276159 0.335729 
0.272834	-24.717226 0.737849 -0.040748 0.638577 0.588245 0.216197 -0.354097 0.323726 0.676531 0.525434 -0.409695 0.399885 0.058093 
0.278639	-24.455082 0.539929 -0.455187 0.153241 -0.133062 0.620234 0.456924 0.185761 0.342222 0.331347 0.539819 0.701077 0.505106 
0.284444	-24.463634 1.328808 -0.275237 0.299355 0.373873 0.808923 0.156844 -0.064942 0.407396 0.537345 0.018630 -0.052382 -0.023865 
0.290249	-24.073151 1.559979 -0.130754 0.456548 0.205992 0.345542 -0.069062 0.277313 0.796764 0.074348 -0.091963 -0.147958 0.249544 
0.296054	-24.242825 1.133533 -0.357091 0.684918 0.367794 0.695786 -0.115725 -0.263858 0.108776 0.004632 -0.211077 -0.265936 0.176558 
0.301859	-24.142302 1.626217 -0.190686 0.793937 0.224542 0.657814 0.009214 0.158229 0.280163 -0.199620 0.087654 -0.020766 0.199671 
0.307664	-23.621342 1.635787 0.224603 0.729302 0.380912 0.477102 0.232816 -0.068118 0.364659 0.243488 -0.246801 -0.106747 0.265776 
0.313469	-24.426186 0.762035 -0.086102 1.055038 0.405791 0.994306 0.226873 -0.259831 0.328426 0.318274 -0.433509 -0.106182 0.067472 
0.319274	-23.779934 1.150872 -0.447933 0.621425 0.678291 1.115911 0.283790 -0.160414 0.371520 0.252396 -0.138045 0.009196 -0.127077 
0.325079	-24.280693 1.444142 -0.150321 0.633641 -0.031011 0.611732 0.491063 0.257835 0.833006 0.104484 0.101558 -0.002201 0.411580 
0.330884	-24.100025 1.444457 -0.133512 0.354149 -0.123660 0.787052 0.148528 -0.276023 0.379949 0.141693 -0.238515 0.235645 0.131432 
0.336689	-23.695805 1.092975 -0.273752 0.237239 -0.069170 0.727593 0.319941 0.246655 0.315095 0.439565 0.183736 0.224212 -0.259360 
0.342494	-23.403074 1.444020 -0.352894 0.179451 -0.561430 0.194988 -0.170422 0.087655 0.120927 -0.062393 -0.445658 -0.295363 -0.152862 
0.348299	-23.532196 1.341565 -0.575005 0.957574 0.326492 0.415927 -0.499110 -0.037434 0.446838 0.161517 0.153656 -0.060409 0.265507 
0.354104	-24.222317 1.059710 -0.104623 0.892505 -0.091509 -0.091723 0.117558 0.059543 0.656036 0.420367 -0.495223 -0.625477 -0.093077 
0.359909	-23.742897 0.994690 -0.355620 0.737619 0.368478 0.923741 -0.120674 -0.415412 0.156752 0.579894 0.026191 -0.389243 0.097300 
0.365714	-23.443676 1.395795 -0.255563 0.542446 -0.093363 0.015927 -0.063583 -0.220072 0.522191 0.095581 -0.156140 -0.230288 0.061173 
0.371519	-23.581375 0.992290 -0.830012 0.202984 0.399932 0.350690 -0.433208 -0.145198 1.005279 0.578232 -0.111555 -0.225554 0.194796 
0.377324	-23.746313 1.148946 -0.604249 0.480998 0.948041 0.783475 -0.155634 -0.213108 0.746828 0.575926 -0.449048 -0.302834 0.038008 
0.383129	-23.722143 0.970737 -1.079979 0.290901 0.713039 0.962726 -0.018805 -0.227197 0.458271 0.319837 -0.153045 -0.344857 0.272814 
0.388934	-22.347614 0.545855 0.268405 -0.437678 0.540719 0.882678 -0.050150 0.149062 0.406161 0.365052 -0.549903 -0.258227 0.012618 
0.394739	-23.746891 0.734259 -0.012916 -0.071085 0.745948 0.874260 0.061612 -0.290429 0.215427 0.216322 0.205217 0.480788 -0.009526 
0.400544	-23.977631 1.125680 0.092330 0.755056 0.858958 0.604538 0.183369 0.054365 0.033020 0.494659 -0.469633 -0.171029 -0.403078 
0.406349	-23.729488 1.475125 0.012554 0.779668 0.562336 0.561961 -0.436841 -0.458302 0.354671 0.904890 0.448387 -0.049843 -0.624162 
0.412154	-22.952475 1.767831 0.070852 0.602388 0.358911 0.825941 -0.348990 -0.632748 0.168547 0.411414 0.287050 -0.160187 0.040202 
0.417959	-23.807850 1.763496 -0.189823 0.513185 -0.418431 0.308916 0.262219 0.078218 0.175366 0.302884 -0.091738 0.026421 -0.418013 
0.423764	-23.611023 1.164950 -0.678881 0.052579 0.072973 0.389912 0.128535 0.039779 0.779813 -0.097013 -0.524343 -0.137706 0.027052 
0.429569	-23.433514 1.258391 -0.877420 0.102751 -0.022846 0.157133 -0.134265 -0.021476 0.602561 0.337045 -0.702811 -0.726824 0.429124 
0.435374	-23.733822 1.181242 -0.583582 0.493064 0.856670 1.073608 0.065233 0.160925 0.358745 0.104291 -0.473885 -0.086890 0.182568 
0.441179	-23.472055 1.621439 -0.462981 -0.477969 0.105080 0.480122 -0.278657 -0.438038 0.573209 0.513578 -0.281105 -0.147534 0.090940 
0.446984	-23.513054 0.936172 -0.296045 0.245333 0.283114 0.527164 0.032920 0.761790 0.661142 0.470274 -0.221699 -0.396741 -0.332047 
0.452789	-23.580235 1.112627 -0.580390 0.790648 0.569344 0.424707 0.270163 -0.000863 0.441432 0.542754 -0.134921 0.195630 0.201077 
0.458594	-23.724501 1.488936 -0.064587 0.438949 0.006554 -0.175511 -0.533147 -0.142843 0.676096 0.521850 -0.270338 -0.047077 0.082895 
0.464399	-23.873856 1.830478 0.070642 0.632694 -0.007532 0.695355 0.057350 0.092578 0.112866 -0.123483 -0.077235 -0.046387 -0.370331 
0.470204	-23.793570 1.449504 -0.392326 0.756971 0.656022 0.322517 -0.424694 -0.404477 -0.112137 0.589766 0.404141 0.026802 -0.443891 
0.476009	-23.744600 1.477264 0.118867 1.064706 0.891544 0.828009 -0.032715 -0.280702 0.011897 -0.281555 0.232539 0.191614 -0.071078 
0.481814	-23.386745 1.499867 0.042906 0.578915 0.461351 0.704511 0.031277 -0.348932 0.310505 0.191033 -0.197596 -0.046802 -0.155761 
0.487619	-23.843321 0.986414 -0.528482 0.442097 0.251131 1.011868 -0.376401 0.206246 0.671264 0.098614 -0.201241 0.516555 0.545285 
